user_id,gender,age,stream,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6
1125,Male,20,Aerospace Engineering,Unknown,Unknown,"Flight Mechanics, Flight Mechanics","Flight Mechanics, Flight Mechanics","Rocket Propulsion Systems, Orbital Mechanics","Rocket Propulsion Systems, Orbital Mechanics"
1126,Male,21,Mechanical Engineering,"Soft Skills for Engineers, Basics of Electrical and Electronics Engineering",Unknown,"Basics of Robotics, 3D Modeling with SolidWorks","Basics of Robotics, 3D Modeling with SolidWorks","Introduction to Mechatronics, Automobile Dynamics","Introduction to Mechatronics, Automobile Dynamics"
1127,Female,23,Mechanical Engineering,"Soft Skills for Engineers, Soft Skills for Engineers","Soft Skills for Engineers, Soft Skills for Engineers","Introduction to Additive Manufacturing (3D Printing), Basics of Robotics","Introduction to Additive Manufacturing (3D Printing), Basics of Robotics","Automobile Dynamics, HVAC Systems Design","Automobile Dynamics, HVAC Systems Design"
1128,Female,23,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Engineering Mechanics","Engineering Mechanics, Engineering Mechanics","Introduction to Genetic Engineering, Introduction to Tissue Engineering","Introduction to Genetic Engineering, Introduction to Tissue Engineering","Biostatistics for Biomedical Research, Advanced Tissue Engineering","Biostatistics for Biomedical Research, Advanced Tissue Engineering"
1129,Male,20,Mechanical Engineering,"Environmental Science and Sustainability, Soft Skills for Engineers","Environmental Science and Sustainability, Soft Skills for Engineers","Basics of Robotics, Introduction to Additive Manufacturing (3D Printing)","Basics of Robotics, Introduction to Additive Manufacturing (3D Printing)","Advanced Manufacturing Techniques, Introduction to Mechatronics","Advanced Manufacturing Techniques, Introduction to Mechatronics"
1130,Female,23,Mechanical Engineering,"Engineering Mechanics, Introduction to Python Programming","Engineering Mechanics, Introduction to Python Programming","Introduction to Additive Manufacturing (3D Printing), Strength of Materials","Introduction to Additive Manufacturing (3D Printing), Strength of Materials","Wind and Solar Energy Engineering, Optimization in Mechanical Design","Wind and Solar Energy Engineering, Optimization in Mechanical Design"
1131,Female,25,Unknown,"Soft Skills for Engineers, Soft Skills for Engineers","Soft Skills for Engineers, Soft Skills for Engineers","Space Mission Design, Basics of Computational Fluid Dynamics (CFD)","Space Mission Design, Basics of Computational Fluid Dynamics (CFD)","Satellite System Engineering, Satellite System Engineering","Satellite System Engineering, Satellite System Engineering"
1132,Female,19,Biotechnology/Biomedical Engineering,"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Healthcare Data Analytics, Introduction to Genetic Engineering","Healthcare Data Analytics, Introduction to Genetic Engineering","Biomedical Signal Processing, Gene Editing with CRISPR","Biomedical Signal Processing, Gene Editing with CRISPR"
1133,Female,20,Electronics and Communication Engineering (ECE),"Introduction to Python Programming, Introduction to Data Science","Introduction to Python Programming, Introduction to Data Science","MATLAB Programming for Engineers, Microprocessors and Microcontrollers","MATLAB Programming for Engineers, Microprocessors and Microcontrollers","IoT System Design, IoT System Design","IoT System Design, IoT System Design"
1134,Female,19,Chemical Engineering,"Environmental Science and Sustainability, Introduction to Python Programming","Environmental Science and Sustainability, Introduction to Python Programming","Chemical Process Simulation Using Aspen Plus, Process Engineering Fundamentals","Chemical Process Simulation Using Aspen Plus, Process Engineering Fundamentals","Nanotechnology in Chemical Engineering, Biochemical Engineering","Nanotechnology in Chemical Engineering, Biochemical Engineering"
1135,Female,19,Electrical Engineering,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Circuit Theory Basics, Control Systems Fundamentals","Circuit Theory Basics, Control Systems Fundamentals","IoT Applications in Electrical Engineering, Advanced Control Systems","IoT Applications in Electrical Engineering, Advanced Control Systems"
1136,Female,19,Aerospace Engineering,"Introduction to Data Science, Engineering Mechanics",Unknown,"Flight Mechanics, Flight Mechanics","Flight Mechanics, Flight Mechanics","UAV Technology, Spacecraft Avionics","UAV Technology, Spacecraft Avionics"
1137,Unknown,20,Electrical Engineering,"Environmental Science and Sustainability, Introduction to Python Programming","Environmental Science and Sustainability, Introduction to Python Programming","Electrical Machines and Drives, Introduction to Renewable Energy Systems","Electrical Machines and Drives, Introduction to Renewable Energy Systems","High Voltage Engineering, High Voltage Engineering","High Voltage Engineering, High Voltage Engineering"
1138,Female,19,Computer Science and Engineering (CSE),"Engineering Mathematics, Engineering Mathematics","Engineering Mathematics, Engineering Mathematics","Web Development with HTML, CSS, and JavaScript, Data Structures and Algorithms","Web Development with HTML, CSS, and JavaScript, Data Structures and Algorithms","Blockchain Basics, Artificial Intelligence Foundations","Blockchain Basics, Artificial Intelligence Foundations"
1139,Male,25,Mechanical Engineering,"Introduction to Python Programming, Soft Skills for Engineers","Introduction to Python Programming, Soft Skills for Engineers","Finite Element Analysis (FEA), Finite Element Analysis (FEA)","Finite Element Analysis (FEA), Finite Element Analysis (FEA)","HVAC Systems Design, Advanced Manufacturing Techniques","HVAC Systems Design, Advanced Manufacturing Techniques"
1140,Female,25,Electronics and Communication Engineering (ECE),"Environmental Science and Sustainability, Introduction to Python Programming",Unknown,"Introduction to IoT, Embedded Systems Basics","Introduction to IoT, Embedded Systems Basics","FPGA Programming, Wireless Communication and 5G","FPGA Programming, Wireless Communication and 5G"
1141,Female,24,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Soft Skills for Engineers","Soft Skills for Engineers, Soft Skills for Engineers","Version Control with Git and GitHub, Introduction to Machine Learning","Version Control with Git and GitHub, Introduction to Machine Learning","Deep Learning with TensorFlow, Cloud Architect Essentials","Deep Learning with TensorFlow, Cloud Architect Essentials"
1142,Female,22,Computer Science and Engineering (CSE),"Introduction to Python Programming, Introduction to Python Programming","Introduction to Python Programming, Introduction to Python Programming","Data Structures and Algorithms, Introduction to Cloud Computing","Data Structures and Algorithms, Introduction to Cloud Computing","DevOps Practices, Artificial Intelligence Foundations","DevOps Practices, Artificial Intelligence Foundations"
1143,Female,22,Mechanical Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Kinematics of Machines, 3D Modeling with SolidWorks","Kinematics of Machines, 3D Modeling with SolidWorks","Robotics and Automation Engineering, Automobile Dynamics","Robotics and Automation Engineering, Automobile Dynamics"
1144,Female,25,Aerospace Engineering,"Soft Skills for Engineers, Soft Skills for Engineers","Soft Skills for Engineers, Soft Skills for Engineers","Basics of Computational Fluid Dynamics (CFD), Flight Mechanics","Basics of Computational Fluid Dynamics (CFD), Flight Mechanics","Advanced Aerodynamics, Spacecraft Avionics","Advanced Aerodynamics, Spacecraft Avionics"
1145,Unknown,21,Unknown,"Environmental Science and Sustainability, Soft Skills for Engineers",Unknown,"Surveying and Geomatics, GIS and Remote Sensing","Surveying and Geomatics, GIS and Remote Sensing","Smart Transportation Systems, Geotechnical Engineering Advanced Concepts","Smart Transportation Systems, Geotechnical Engineering Advanced Concepts"
1146,Female,22,Biotechnology/Biomedical Engineering,"Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering",Unknown,"Basics of Bioprocess Engineering, Introduction to Tissue Engineering","Basics of Bioprocess Engineering, Introduction to Tissue Engineering","Drug Delivery Systems, Bioinformatics Applications in Genomics","Drug Delivery Systems, Bioinformatics Applications in Genomics"
1147,Male,22,Civil Engineering,"Soft Skills for Engineers, Introduction to Data Science","Soft Skills for Engineers, Introduction to Data Science","Surveying and Geomatics, Transportation Engineering Basics","Surveying and Geomatics, Transportation Engineering Basics","Geotechnical Engineering Advanced Concepts, Advanced Structural Engineering","Geotechnical Engineering Advanced Concepts, Advanced Structural Engineering"
1148,Female,21,Unknown,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","GIS and Remote Sensing, Introduction to BIM (Building Information Modeling)","GIS and Remote Sensing, Introduction to BIM (Building Information Modeling)","Advanced Structural Engineering, Smart Cities and Urban Planning","Advanced Structural Engineering, Smart Cities and Urban Planning"
1149,Male,20,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Soft Skills for Engineers","Introduction to Data Science, Soft Skills for Engineers","Basics of Communication Systems, Basics of Communication Systems","Basics of Communication Systems, Basics of Communication Systems","Advanced VLSI Design, IoT System Design","Advanced VLSI Design, IoT System Design"
1150,Female,25,Chemical Engineering,"Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Petroleum Refining Basics, Chemical Process Simulation Using Aspen Plus","Petroleum Refining Basics, Chemical Process Simulation Using Aspen Plus","Advanced Thermodynamics, Biochemical Engineering","Advanced Thermodynamics, Biochemical Engineering"
1151,Female,23,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Introduction to Python Programming","Introduction to Data Science, Introduction to Python Programming","Introduction to IoT, Basics of Communication Systems","Introduction to IoT, Basics of Communication Systems","Digital Image Processing, Wireless Communication and 5G","Digital Image Processing, Wireless Communication and 5G"
1152,Male,20,Civil Engineering,"Basics of Electrical and Electronics Engineering, Environmental Science and Sustainability","Basics of Electrical and Electronics Engineering, Environmental Science and Sustainability","Concrete Technology, GIS and Remote Sensing","Concrete Technology, GIS and Remote Sensing","Advanced Highway Engineering, Advanced Structural Engineering","Advanced Highway Engineering, Advanced Structural Engineering"
1153,Female,22,Civil Engineering,"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Water Resource Management, Introduction to BIM (Building Information Modeling)","Water Resource Management, Introduction to BIM (Building Information Modeling)","Geotechnical Engineering Advanced Concepts, Smart Cities and Urban Planning","Geotechnical Engineering Advanced Concepts, Smart Cities and Urban Planning"
1154,Male,21,Electronics and Communication Engineering (ECE),"Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Digital Circuits and Systems, Embedded Systems Basics","Digital Circuits and Systems, Embedded Systems Basics","Digital Image Processing, Embedded System Design with ARM Cortex","Digital Image Processing, Embedded System Design with ARM Cortex"
1156,Female,21,Electronics and Communication Engineering (ECE),"Soft Skills for Engineers, Engineering Mechanics","Soft Skills for Engineers, Engineering Mechanics","Embedded Systems Basics, MATLAB Programming for Engineers","Embedded Systems Basics, MATLAB Programming for Engineers","Advanced VLSI Design, FPGA Programming","Advanced VLSI Design, FPGA Programming"
1157,Female,19,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Introduction to Data Science","Engineering Mechanics, Introduction to Data Science","Biomedical Instrumentation, Introduction to Molecular Biology","Biomedical Instrumentation, Introduction to Molecular Biology","Bioinformatics Applications in Genomics, Gene Editing with CRISPR","Bioinformatics Applications in Genomics, Gene Editing with CRISPR"
1158,Female,19,Aerospace Engineering,"Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Propulsion Systems, Propulsion Systems","Propulsion Systems, Propulsion Systems","Aircraft Structures Design, Orbital Mechanics","Aircraft Structures Design, Orbital Mechanics"
1159,Unknown,22,Electronics and Communication Engineering (ECE),"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to IoT, Analog Electronics Fundamentals","Introduction to IoT, Analog Electronics Fundamentals","Digital Image Processing, Digital Image Processing","Digital Image Processing, Digital Image Processing"
1160,Female,19,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Introduction to Computer-Aided Design (CAD)","Engineering Mechanics, Introduction to Computer-Aided Design (CAD)","Introduction to Genetic Engineering, Biomedical Instrumentation","Introduction to Genetic Engineering, Biomedical Instrumentation","Bioinformatics Applications in Genomics, Biomaterials and Nanotechnology","Bioinformatics Applications in Genomics, Biomaterials and Nanotechnology"
1161,Male,19,Electrical Engineering,Unknown,"Introduction to Python Programming, Introduction to Computer-Aided Design (CAD)","Digital Signal Processing, Control Systems Fundamentals","Digital Signal Processing, Control Systems Fundamentals","Power Electronics Design, Renewable Energy Integration","Power Electronics Design, Renewable Energy Integration"
1162,Male,24,Aerospace Engineering,"Engineering Mechanics, Basics of Electrical and Electronics Engineering","Engineering Mechanics, Basics of Electrical and Electronics Engineering","Space Mission Design, Satellite Communication Systems","Space Mission Design, Satellite Communication Systems","Spacecraft Dynamics and Control, Spacecraft Avionics","Spacecraft Dynamics and Control, Spacecraft Avionics"
1163,Male,24,Electrical Engineering,"Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers",Unknown,"Electrical Machines and Drives, Control Systems Fundamentals","Electrical Machines and Drives, Control Systems Fundamentals","Power Electronics Design, High Voltage Engineering","Power Electronics Design, High Voltage Engineering"
1164,Female,25,Unknown,"Engineering Mathematics, Engineering Mathematics","Engineering Mathematics, Engineering Mathematics","Electromagnetic Fields and Waves, Digital Signal Processing","Electromagnetic Fields and Waves, Digital Signal Processing","Renewable Energy Integration, Renewable Energy Integration","Renewable Energy Integration, Renewable Energy Integration"
1165,Male,23,Civil Engineering,"Soft Skills for Engineers, Environmental Science and Sustainability","Soft Skills for Engineers, Environmental Science and Sustainability","Surveying and Geomatics, Surveying and Geomatics","Surveying and Geomatics, Surveying and Geomatics","Smart Transportation Systems, Advanced BIM Techniques","Smart Transportation Systems, Advanced BIM Techniques"
1166,Male,23,Biotechnology/Biomedical Engineering,"Introduction to Data Science, Introduction to Python Programming","Introduction to Data Science, Introduction to Python Programming","Introduction to Genetic Engineering, Healthcare Data Analytics","Introduction to Genetic Engineering, Healthcare Data Analytics","Medical Devices and Diagnostics, Gene Editing with CRISPR","Medical Devices and Diagnostics, Gene Editing with CRISPR"
1167,Female,19,Unknown,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Introduction to Renewable Energy Systems, Digital Signal Processing","Introduction to Renewable Energy Systems, Digital Signal Processing","IoT Applications in Electrical Engineering, High Voltage Engineering","IoT Applications in Electrical Engineering, High Voltage Engineering"
1168,Female,22,Civil Engineering,"Engineering Mechanics, Engineering Mathematics","Engineering Mechanics, Engineering Mathematics","Surveying and Geomatics, Construction Planning and Management","Surveying and Geomatics, Construction Planning and Management","Advanced Highway Engineering, Smart Transportation Systems","Advanced Highway Engineering, Smart Transportation Systems"
1169,Female,23,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Soft Skills for Engineers","Engineering Mechanics, Soft Skills for Engineers","Biomedical Instrumentation, Introduction to Molecular Biology","Biomedical Instrumentation, Introduction to Molecular Biology","Biostatistics for Biomedical Research, Drug Delivery Systems","Biostatistics for Biomedical Research, Drug Delivery Systems"
1170,Male,20,Electronics and Communication Engineering (ECE),"Soft Skills for Engineers, Introduction to Python Programming","Soft Skills for Engineers, Introduction to Python Programming","Basics of Communication Systems, Microprocessors and Microcontrollers","Basics of Communication Systems, Microprocessors and Microcontrollers","Embedded System Design with ARM Cortex, Embedded System Design with ARM Cortex","Embedded System Design with ARM Cortex, Embedded System Design with ARM Cortex"
1171,Female,24,Aerospace Engineering,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Flight Mechanics, Propulsion Systems","Flight Mechanics, Propulsion Systems","Aircraft Structures Design, Satellite System Engineering","Aircraft Structures Design, Satellite System Engineering"
1172,Male,20,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Soft Skills for Engineers","Introduction to Data Science, Soft Skills for Engineers","Basics of Communication Systems, Embedded Systems Basics","Basics of Communication Systems, Embedded Systems Basics","Embedded System Design with ARM Cortex, FPGA Programming","Embedded System Design with ARM Cortex, FPGA Programming"
1173,Female,21,Unknown,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","MATLAB Programming for Engineers, MATLAB Programming for Engineers","MATLAB Programming for Engineers, MATLAB Programming for Engineers","Network-on-Chip Architecture, FPGA Programming","Network-on-Chip Architecture, FPGA Programming"
1174,Male,20,Civil Engineering,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Surveying and Geomatics, Concrete Technology","Surveying and Geomatics, Concrete Technology","Sustainable Construction, Hydrology and Water Resource Engineering","Sustainable Construction, Hydrology and Water Resource Engineering"
1175,Male,24,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Introduction to Python Programming","Engineering Mechanics, Introduction to Python Programming","Introduction to Molecular Biology, Bioinformatics for Beginners","Introduction to Molecular Biology, Bioinformatics for Beginners","Biomaterials and Nanotechnology, Drug Delivery Systems","Biomaterials and Nanotechnology, Drug Delivery Systems"
1176,Female,25,Electronics and Communication Engineering (ECE),"Introduction to Computer-Aided Design (CAD), Environmental Science and Sustainability","Introduction to Computer-Aided Design (CAD), Environmental Science and Sustainability","Signals and Systems, Basics of Communication Systems","Signals and Systems, Basics of Communication Systems","FPGA Programming, Network-on-Chip Architecture","FPGA Programming, Network-on-Chip Architecture"
1177,Male,25,Chemical Engineering,"Introduction to Data Science, Engineering Mechanics","Introduction to Data Science, Engineering Mechanics","Petroleum Refining Basics, Polymer Technology","Petroleum Refining Basics, Polymer Technology","Environmental Impact of Chemical Processes, Environmental Impact of Chemical Processes","Environmental Impact of Chemical Processes, Environmental Impact of Chemical Processes"
1178,Male,22,Mechanical Engineering,"Basics of Electrical and Electronics Engineering, Environmental Science and Sustainability","Basics of Electrical and Electronics Engineering, Environmental Science and Sustainability","Kinematics of Machines, Finite Element Analysis (FEA)","Kinematics of Machines, Finite Element Analysis (FEA)","Advanced Manufacturing Techniques, HVAC Systems Design","Advanced Manufacturing Techniques, HVAC Systems Design"
1179,Male,22,Electronics and Communication Engineering (ECE),Unknown,"Engineering Mathematics, Environmental Science and Sustainability","MATLAB Programming for Engineers, Introduction to IoT","MATLAB Programming for Engineers, Introduction to IoT","Wireless Communication and 5G, Wireless Communication and 5G","Wireless Communication and 5G, Wireless Communication and 5G"
1180,Male,24,Computer Science and Engineering (CSE),"Introduction to Data Science, Engineering Mathematics","Introduction to Data Science, Engineering Mathematics","Data Structures and Algorithms, Foundations of Cybersecurity","Data Structures and Algorithms, Foundations of Cybersecurity","Cybersecurity and Ethical Hacking, Cybersecurity and Ethical Hacking","Cybersecurity and Ethical Hacking, Cybersecurity and Ethical Hacking"
1181,Male,19,Electrical Engineering,"Introduction to Python Programming, Engineering Mathematics","Introduction to Python Programming, Engineering Mathematics","Electromagnetic Fields and Waves, Basics of Power Systems","Electromagnetic Fields and Waves, Basics of Power Systems","Smart Grid Technology, Electric Vehicle Systems","Smart Grid Technology, Electric Vehicle Systems"
1182,Female,24,Electrical Engineering,"Introduction to Data Science, Soft Skills for Engineers","Introduction to Data Science, Soft Skills for Engineers","Electrical Machines and Drives, Introduction to Renewable Energy Systems","Electrical Machines and Drives, Introduction to Renewable Energy Systems","High Voltage Engineering, High Voltage Engineering","High Voltage Engineering, High Voltage Engineering"
1183,Female,24,Civil Engineering,Unknown,"Engineering Mechanics, Basics of Electrical and Electronics Engineering","Construction Planning and Management, Introduction to BIM (Building Information Modeling)","Construction Planning and Management, Introduction to BIM (Building Information Modeling)","Advanced Structural Engineering, Hydrology and Water Resource Engineering","Advanced Structural Engineering, Hydrology and Water Resource Engineering"
1184,Female,19,Computer Science and Engineering (CSE),"Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Introduction to Machine Learning, Introduction to Machine Learning","Introduction to Machine Learning, Introduction to Machine Learning","Artificial Intelligence Foundations, Data Science and Big Data Analytics","Artificial Intelligence Foundations, Data Science and Big Data Analytics"
1185,Male,23,Civil Engineering,"Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Construction Planning and Management, Surveying and Geomatics","Construction Planning and Management, Surveying and Geomatics","Smart Cities and Urban Planning, Sustainable Construction","Smart Cities and Urban Planning, Sustainable Construction"
1186,Male,23,Biotechnology/Biomedical Engineering,"Introduction to Data Science, Introduction to Data Science","Introduction to Data Science, Introduction to Data Science","Basics of Bioprocess Engineering, Introduction to Tissue Engineering","Basics of Bioprocess Engineering, Introduction to Tissue Engineering","Biomaterials and Nanotechnology, Advanced Tissue Engineering","Biomaterials and Nanotechnology, Advanced Tissue Engineering"
1187,Unknown,20,Mechanical Engineering,"Introduction to Python Programming, Engineering Mechanics","Introduction to Python Programming, Engineering Mechanics","Strength of Materials, Thermodynamics Basics","Strength of Materials, Thermodynamics Basics","Automobile Dynamics, Introduction to Mechatronics","Automobile Dynamics, Introduction to Mechatronics"
1188,Female,20,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Introduction to Python Programming","Soft Skills for Engineers, Introduction to Python Programming","Introduction to Machine Learning, Introduction to Machine Learning","Introduction to Machine Learning, Introduction to Machine Learning","DevOps Practices, Deep Learning with TensorFlow","DevOps Practices, Deep Learning with TensorFlow"
1189,Male,23,Civil Engineering,"Engineering Mathematics, Soft Skills for Engineers","Engineering Mathematics, Soft Skills for Engineers","Construction Planning and Management, Construction Planning and Management","Construction Planning and Management, Construction Planning and Management","Advanced Structural Engineering, Smart Cities and Urban Planning","Advanced Structural Engineering, Smart Cities and Urban Planning"
1190,Female,22,Civil Engineering,"Introduction to Data Science, Engineering Mathematics",Unknown,"Surveying and Geomatics, Basics of Structural Analysis","Surveying and Geomatics, Basics of Structural Analysis","Smart Cities and Urban Planning, Hydrology and Water Resource Engineering","Smart Cities and Urban Planning, Hydrology and Water Resource Engineering"
1191,Male,19,Unknown,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Healthcare Data Analytics, Introduction to Molecular Biology","Healthcare Data Analytics, Introduction to Molecular Biology","Biomedical Signal Processing, Biomedical Signal Processing","Biomedical Signal Processing, Biomedical Signal Processing"
1192,Male,22,Biotechnology/Biomedical Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Python Programming","Introduction to Computer-Aided Design (CAD), Introduction to Python Programming","Introduction to Genetic Engineering, Introduction to Molecular Biology","Introduction to Genetic Engineering, Introduction to Molecular Biology","Biostatistics for Biomedical Research, Advanced Tissue Engineering","Biostatistics for Biomedical Research, Advanced Tissue Engineering"
1193,Female,22,Chemical Engineering,"Introduction to Python Programming, Soft Skills for Engineers",Unknown,"Mass Transfer Basics, Polymer Technology","Mass Transfer Basics, Polymer Technology","Catalysis in Chemical Engineering, Biochemical Engineering","Catalysis in Chemical Engineering, Biochemical Engineering"
1194,Female,20,Mechanical Engineering,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Basics of Robotics, Kinematics of Machines","Basics of Robotics, Kinematics of Machines","HVAC Systems Design, Wind and Solar Energy Engineering","HVAC Systems Design, Wind and Solar Energy Engineering"
1195,Female,24,Civil Engineering,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Introduction to BIM (Building Information Modeling), Basics of Structural Analysis","Introduction to BIM (Building Information Modeling), Basics of Structural Analysis","Advanced Highway Engineering, Advanced Highway Engineering","Advanced Highway Engineering, Advanced Highway Engineering"
1196,Female,25,Biotechnology/Biomedical Engineering,"Engineering Mathematics, Environmental Science and Sustainability","Engineering Mathematics, Environmental Science and Sustainability","Introduction to Molecular Biology, Medical Imaging and Applications","Introduction to Molecular Biology, Medical Imaging and Applications","Drug Delivery Systems, Biostatistics for Biomedical Research","Drug Delivery Systems, Biostatistics for Biomedical Research"
1197,Male,20,Electrical Engineering,"Introduction to Python Programming, Engineering Mechanics","Introduction to Python Programming, Engineering Mechanics","Digital Signal Processing, Circuit Theory Basics","Digital Signal Processing, Circuit Theory Basics","Power Electronics Design, Power Electronics Design","Power Electronics Design, Power Electronics Design"
1198,Male,22,Civil Engineering,"Basics of Electrical and Electronics Engineering, Environmental Science and Sustainability","Basics of Electrical and Electronics Engineering, Environmental Science and Sustainability","Construction Planning and Management, Water Resource Management","Construction Planning and Management, Water Resource Management","Advanced Highway Engineering, Smart Cities and Urban Planning","Advanced Highway Engineering, Smart Cities and Urban Planning"
1199,Male,24,Electronics and Communication Engineering (ECE),Unknown,"Soft Skills for Engineers, Engineering Mechanics","Microprocessors and Microcontrollers, MATLAB Programming for Engineers","Microprocessors and Microcontrollers, MATLAB Programming for Engineers","Embedded System Design with ARM Cortex, Network-on-Chip Architecture","Embedded System Design with ARM Cortex, Network-on-Chip Architecture"
1200,Female,23,Electronics and Communication Engineering (ECE),"Introduction to Computer-Aided Design (CAD), Introduction to Data Science",Unknown,"Signals and Systems, Introduction to IoT","Signals and Systems, Introduction to IoT","Wireless Communication and 5G, Radar Systems and Applications","Wireless Communication and 5G, Radar Systems and Applications"
1201,Male,21,Civil Engineering,"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Basics of Structural Analysis, Construction Planning and Management","Basics of Structural Analysis, Construction Planning and Management","Sustainable Construction, Advanced BIM Techniques","Sustainable Construction, Advanced BIM Techniques"
1202,Female,22,Electronics and Communication Engineering (ECE),"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","MATLAB Programming for Engineers, Signals and Systems","MATLAB Programming for Engineers, Signals and Systems","Network-on-Chip Architecture, Network-on-Chip Architecture","Network-on-Chip Architecture, Network-on-Chip Architecture"
1203,Female,25,Electrical Engineering,Unknown,"Introduction to Python Programming, Environmental Science and Sustainability","Circuit Theory Basics, Electromagnetic Fields and Waves","Circuit Theory Basics, Electromagnetic Fields and Waves","Advanced Power Systems, High Voltage Engineering","Advanced Power Systems, High Voltage Engineering"
1204,Female,24,Electrical Engineering,"Engineering Mechanics, Introduction to Python Programming","Engineering Mechanics, Introduction to Python Programming","IoT for Electrical Engineers, Digital Signal Processing","IoT for Electrical Engineers, Digital Signal Processing","Advanced Control Systems, Power Electronics Design","Advanced Control Systems, Power Electronics Design"
1205,Unknown,21,Biotechnology/Biomedical Engineering,"Soft Skills for Engineers, Introduction to Python Programming","Soft Skills for Engineers, Introduction to Python Programming","Biomedical Instrumentation, Healthcare Data Analytics","Biomedical Instrumentation, Healthcare Data Analytics","Drug Delivery Systems, Gene Editing with CRISPR","Drug Delivery Systems, Gene Editing with CRISPR"
1206,Female,24,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Engineering Mathematics","Introduction to Data Science, Engineering Mathematics","Digital Circuits and Systems, MATLAB Programming for Engineers","Digital Circuits and Systems, MATLAB Programming for Engineers","Radar Systems and Applications, Network-on-Chip Architecture","Radar Systems and Applications, Network-on-Chip Architecture"
1207,Male,25,Mechanical Engineering,"Introduction to Python Programming, Environmental Science and Sustainability","Introduction to Python Programming, Environmental Science and Sustainability","Basics of Robotics, Introduction to Additive Manufacturing (3D Printing)","Basics of Robotics, Introduction to Additive Manufacturing (3D Printing)","Automobile Dynamics, Energy Systems Engineering","Automobile Dynamics, Energy Systems Engineering"
1208,Unknown,25,Chemical Engineering,"Introduction to Python Programming, Introduction to Python Programming","Introduction to Python Programming, Introduction to Python Programming","Petroleum Refining Basics, Process Engineering Fundamentals","Petroleum Refining Basics, Process Engineering Fundamentals","Process Optimization and Simulation, Biochemical Engineering","Process Optimization and Simulation, Biochemical Engineering"
1209,Female,19,Aerospace Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Propulsion Systems, Satellite Communication Systems","Propulsion Systems, Satellite Communication Systems","Aircraft Structures Design, Spacecraft Dynamics and Control","Aircraft Structures Design, Spacecraft Dynamics and Control"
